Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.225,2.350063824836613,1.0295001816546954,2.585491036831354,134.64873874950948,58.986015416765625,148.1377243793399,-13.975,-61.078,12.2,-16.501,113.676,20.1
0.224,2.3501679193030474,1.0294138705938294,2.585605537465231,134.65470292310684,58.98107015725271,148.1442847824126,-13.975,-61.084,12.2,-16.501,113.676,20.1
0.222,2.3501679193030474,1.0294138705938294,2.585605537465231,134.65470292310684,58.98107015725271,148.1442847824126,-13.975,-61.084,12.2,-16.501,113.676,20.1
0.219,2.349594977191924,1.0298885053652835,2.584975364515953,134.62187575823415,59.00826472646719,148.10817853205566,-13.975,-61.051,12.2,-16.501,113.676,20.1
0.216,2.3497676664592886,1.0299438240261698,2.5851234033966746,134.63177012442137,59.01143425226429,148.11666053512482,-13.969,-61.051,12.2,-16.501,113.676,20.1
0.212,2.3498719021241636,1.0298575304383761,2.585238038218718,134.63774238809344,59.006489993884664,148.12322862661316,-13.969,-61.057,12.2,-16.501,113.676,20.1
0.208,2.3498719021241636,1.0298575304383761,2.585238038218718,134.63774238809344,59.006489993884664,148.12322862661316,-13.969,-61.057,12.2,-16.501,113.676,20.1
0.205,2.3490913008426353,1.030286561100766,2.584426150610437,134.59301722917937,59.03107164012131,148.07671089321968,-13.975,-61.018,12.2,-16.501,113.681,20.1
0.202,2.34894707121621,1.0301541660786402,2.5844175684541084,134.58475348030447,59.02348596412496,148.07621917188294,-13.98,-61.024,12.2,-16.507,113.681,20.1
0.201,2.3486694118069673,1.0300269172973309,2.5843652034641114,134.56884476801275,59.01619514600775,148.07321887896185,-13.986,-61.029,12.2,-16.518,113.681,20.1
0.2,2.348160958584266,1.02992536614251,2.584093900506823,134.53971254427213,59.01037669343184,148.05767436453982,-13.997,-61.029,12.2,-16.529,113.681,20.1
0.2,2.346931270500209,1.0302317739033922,2.5830698343014817,134.46925660693813,59.027932564940436,147.99899969303178,-14.013,-60.991,12.2,-16.54,113.687,20.1
0.201,2.346106701736712,1.029956431594167,2.5826234560857255,134.42201229687146,59.012156612700444,147.97342410520238,-14.035,-60.996,12.2,-16.556,113.687,20.1
0.205,2.3451389638795312,1.0295485613474158,2.5821696723045227,134.36656500197995,58.988787368972645,147.94742420972796,-14.062,-61.007,12.2,-16.578,113.687,20.1
0.212,2.343878531619681,1.0291664582624143,2.5814404335532695,134.29434755312838,58.96689447486313,147.90564190702378,-14.095,-61.007,12.2,-16.6,113.692,20.1
0.218,2.342027844754584,1.029451190460151,2.580021870241113,134.18831100655802,58.983208428084936,147.82436421626508,-14.123,-60.969,12.2,-16.622,113.692,20.1
0.223,2.340850409375395,1.0291087317733632,2.579458007474986,134.1208489286811,58.96358699067439,147.79205725954145,-14.15,-60.969,12.2,-16.65,113.698,20.1
0.226,2.339665039174114,1.0287765600906331,2.5788675264402032,134.05293221898714,58.9445549551802,147.75822518836588,-14.178,-60.974,12.2,-16.677,113.698,20.1
0.226,2.338617898920506,1.0284955265551132,2.5784111886250045,133.99293550189716,58.92845291969327,147.7320789575228,-14.2,-60.974,12.2,-16.705,113.703,20.1
0.225,2.33681810202184,1.0287576957295501,2.5772221040218772,133.88981473562285,58.94347410690693,147.66394942827958,-14.222,-60.936,12.2,-16.738,113.708,20.1
0.225,2.335698254065991,1.0285467327204478,2.576667272927354,133.82565217405636,58.931386816852,147.6321599482208,-14.244,-60.93,12.2,-16.765,113.714,20.1
0.225,2.334599392373939,1.028255389137395,2.5762452056513,133.7626920368332,58.91469405915484,147.6079772746323,-14.266,-60.936,12.2,-16.798,113.714,20.1
0.225,2.333448791602964,1.0280592940043567,2.5756747181219564,133.6967674687518,58.9034586356487,147.57529074693608,-14.288,-60.93,12.2,-16.826,113.719,20.1
0.229,2.3318549857361885,1.0283043692647316,2.574501495999421,133.60544911922238,58.91750041373125,147.5080700708834,-14.31,-60.892,12.2,-16.848,113.725,20.1
0.234,2.3313493926753956,1.0282012162066914,2.574232923666993,133.57648077068785,58.91159017886167,147.49268200974132,-14.321,-60.892,12.2,-16.859,113.725,20.1
0.239,2.3314373819588496,1.0281299071228198,2.574329859289035,133.58152218527215,58.907504469314894,147.4982360117688,-14.321,-60.897,12.2,-16.859,113.725,20.1
