Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.545,-0.7482952446784941,-0.19250761594567778,-0.05333865234990015,-42.874159349786986,-11.029873917812685,-3.0560796645648294,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.57,-0.7495408462996508,-0.19279139815320767,-0.052291497643630724,-42.94552706563392,-11.046133440605054,-2.99608211939833,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.564,-0.751573428761057,-0.19312308542679424,-0.05103822607426822,-43.06198546218481,-11.065137721499765,-2.924274947890121,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.521,-0.7540917204740485,-0.19348488331867264,-0.04963242490788383,-43.20627294892199,-11.085867213741128,-2.8437284742217273,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.451,-0.7565113149731155,-0.19385002872142287,-0.04816910895587251,-43.3449055018516,-11.106788504227321,-2.75988664607731,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.391,-0.7582811724181666,-0.19419120016120228,-0.04675776488080713,-43.44631086379284,-11.126336187817083,-2.679022587135269,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.38,-0.7588686751631895,-0.19448735708238662,-0.045494945434146616,-43.47997229153499,-11.143304729474535,-2.6066683625545757,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.421,-0.7584185755806787,-0.19475454702474537,-0.04432297450285455,-43.45418348509653,-11.158613585500033,-2.539519374479524,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.545,-0.7572849010816516,-0.19500647856534425,-0.04318719959958389,-43.389228720960666,-11.173048199502578,-2.4744442660452357,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.57,-0.7023645966182441,-0.19279139815320767,-0.05229149764363067,-40.24252706563392,-11.046133440605054,-2.9960821193983267,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.564,-0.7005574547252624,-0.19312308542679446,-0.05103822607426811,-40.138985462184785,-11.065137721499777,-2.924274947890115,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.521,-0.6990614891586671,-0.19348488331867286,-0.04963242490788394,-40.05327294892198,-11.08586721374114,-2.8437284742217335,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.451,-0.6975540928407469,-0.19385002872142287,-0.048169108955872286,-39.96690550185159,-11.106788504227321,-2.7598866460772977,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
0.391,-0.6956762121491298,-0.19419120016120184,-0.04675776488080724,-39.85931086379282,-11.126336187817056,-2.6790225871352757,-0.5033,-0.14514,374.0,-0.76019,-0.26843,368.0
