Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(rad),W_Debug_Pitch(rad),W_Debug_Yaw(rad),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(rad),H_Debug_Pitch(rad),H_Debug_Yaw(rad),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0.196,0.2677544563917662,-0.335119882,1.958467774683038,15.341200297067852,-19.20095487,112.21193780171633,-0.456,-13.909,-61.172,-3.142,-16.479,113.67,-0.159637289,-0.316050365,-1.976914697,-9.146542922,-18.10835205,-113.2688686,0.034514123,-0.06560934,0.003112067,1.9775136054139757,-3.759138294,0.17830830080560228
0.196,0.2677902755044552,-0.334683275,1.957703927359444,15.343252581050837,-19.17593916,112.16817257388205,-0.445,-13.909,-61.133,-3.148,-16.474,113.665,-0.159495227,-0.315950516,-1.976227542,-9.138403346,-18.10263109,-113.2294975,0.034389614,-0.065514955,0.003036341,1.9703797498590612,-3.753730437,0.17396953992716788
0.197,0.2677902755044552,-0.334683275,1.957703927359444,15.343252581050837,-19.17593916,112.16817257388205,-0.445,-13.909,-61.133,-3.148,-16.474,113.665,-0.159495227,-0.315950516,-1.976227542,-9.138403346,-18.10263109,-113.2294975,0.034389614,-0.065514955,0.003036341,1.9703797498590612,-3.753730437,0.17396953992716788
0.2,0.26785597165802055,-0.334758407,1.9578693728821346,15.347016693380374,-19.18024389,112.17765190407154,-0.445,-13.914,-61.144,-3.148,-16.474,113.665,-0.159485466,-0.316064946,-1.976407476,-9.137844079,-18.10918745,-113.239807,0.034389614,-0.065514955,0.003036341,1.9703797498590612,-3.753730437,0.17396953992716788
0.206,0.2680413372162729,-0.334857432,1.9578930395442269,15.357637357535317,-19.18591759,112.1790079039246,-0.445,-13.925,-61.144,-3.148,-16.474,113.67,-0.159494958,-0.316254727,-1.976376945,-9.138387958,-18.12006108,-113.2380577,0.034408892,-0.065522422,0.003119871,1.971484310134561,-3.75415824,0.17875542786215026
0.212,0.26834967980630575,-0.334769595,1.9571233296367065,15.375304086588335,-19.18088492,112.13490677477428,-0.439,-13.936,-61.106,-3.148,-16.479,113.67,-0.15944833,-0.316347192,-1.975676873,-9.135716378,-18.12535895,-113.1979465,0.034409403662338196,-0.06560934,0.003112067,1.9715136054139766,-3.759138294,0.17830830080560148
0.218,0.2685495524540189,-0.334941214,1.9570276859248097,15.386755945742403,-19.19071796,112.12942679374562,-0.439,-13.947,-61.106,-3.148,-16.485,113.67,-0.159457836,-0.31653697,-1.975646326,-9.136261017,-18.13623247,-113.1961963,0.034410018,-0.065713642,0.003102702,1.9715488113811348,-3.765114358,0.17777174159592174
0.221,0.26874677741270603,-0.335105741,1.9571581901887032,15.398056103489818,-19.20014464,112.13690413727518,-0.439,-13.953,-61.117,-3.142,-16.49,113.67,-0.159448965,-0.31666866,-1.975823477,-9.13575273,-18.14377772,-113.2063463,0.034515251,-0.065800561,0.003094898,1.9775781927149496,-3.770094411,0.17732460329499458
0.224,0.26894325743008896,-0.335309302,1.9571632509602046,15.409313579244516,-19.21180784,112.13719409812329,-0.439,-13.964,-61.117,-3.142,-16.496,113.676,-0.159458481,-0.316858439,-1.975792927,-9.136297964,-18.15465124,-113.2045959,0.034539000875272306,-0.065913824,0.00318576,1.9789389787517595,-3.776583915,0.18253057911564322
0.225,0.269221357,-0.335111009,1.9564406014024838,15.425247529655664,-19.20044646,112.0957893283989,-0.434,-13.969,-61.078,-3.137,-16.496,113.676,-0.159425361,-0.316844798,-1.975091874,-9.134400346,-18.1538697,-113.1644286,0.034626267,-0.065913824,0.00318576,1.9839389787517572,-3.776583915,0.18253057911564144
