Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.228,2.0164972947137034,-0.12577154678493097,0.09587430483297077,115.53678438664333,-7.206178813608722,5.493193030679936,-61.298,10.1,12.9,113.67,17.2,-9.6
0.226,2.0164972947137034,-0.12577154678493097,0.09587430483297077,115.53678438664333,-7.206178813608722,5.493193030679936,-61.298,10.1,12.9,113.67,17.2,-9.6
0.226,2.0157267976578446,-0.12569799641247092,0.09597092804891871,115.49263815721537,-7.201964687685147,5.4987291331567345,-61.254,10.1,12.9,113.67,17.2,-9.6
0.227,2.0156392420808005,-0.12568963374269493,0.09598190428792608,115.4876215921779,-7.201485542001521,5.499358025326783,-61.249,10.1,12.9,113.67,17.2,-9.6
0.227,2.0156392420808005,-0.12568963374269493,0.09598190428792608,115.4876215921779,-7.201485542001521,5.499358025326783,-61.249,10.1,12.9,113.67,17.2,-9.6
0.225,2.0156388953877267,-0.12567959728045985,0.09599507478517644,115.487601728128,-7.200910495074209,5.5001126392333175,-61.243,10.1,12.9,113.676,17.2,-9.6
0.221,2.014973480738004,-0.125616001144772,0.09607846285670585,115.4494762770727,-7.197266704905953,5.504890423793688,-61.205,10.1,12.9,113.676,17.2,-9.6
0.216,2.014763696489205,-0.1256059546179542,0.09609162543324068,115.43745652500819,-7.1966910813205285,5.505644583876651,-61.199,10.1,12.9,113.67,17.2,-9.6
0.21,2.015306647715888,-0.1373367116402886,0.060601470401851154,115.46856533877857,-7.8688139491937426,3.4722084863130482,-61.205,12.2,13.3,113.67,17.2,-9.6
0.205,2.0152011267149113,-0.13733036859784975,0.06061591646436992,115.46251943077263,-7.868450519632724,3.473036184725956,-61.199,12.2,13.3,113.67,17.2,-9.6
0.2,2.0145328313401616,-0.13729016093381596,0.06070739220013033,115.42422892633135,-7.866146790179508,3.478277358312881,-61.161,12.2,13.3,113.67,17.2,-9.6
0.198,2.0145328313401616,-0.13729016093381596,0.06070739220013033,115.42422892633135,-7.866146790179508,3.478277358312881,-61.161,12.2,13.3,113.67,17.2,-9.6
0.197,2.0146207645177743,-0.13729545487561978,0.06069535749821642,115.42926712628774,-7.866450110701854,3.4775878206855158,-61.166,12.2,13.3,113.67,17.2,-9.6
0.196,2.014726284500688,-0.13730180622200727,0.06068091522405561,115.43531297596299,-7.866814016044083,3.4767603393295308,-61.172,12.2,13.3,113.67,17.2,-9.6
0.196,2.0139531414608243,-0.13726049548888408,0.06077477768028139,115.39101514281889,-7.864447085387533,3.482138261925999,-61.133,12.2,13.3,113.665,17.2,-9.6
0.197,2.0139531414608243,-0.13726049548888408,0.06077477768028139,115.39101514281889,-7.864447085387533,3.482138261925999,-61.133,12.2,13.3,113.665,17.2,-9.6
0.2,2.0139745184053615,-0.08668072384715808,0.062287733646798626,115.39223995151974,-4.966439641581147,3.5688242533965733,-61.144,12.2,13.3,113.665,20.1,-9.6
0.206,2.014061784867961,-0.08668072384715808,0.06228773364679896,115.39723995151975,-4.966439641581147,3.5688242533965924,-61.144,12.2,13.3,113.67,20.1,-9.6
0.212,2.013397353734007,-0.086639420730517,0.06234524125584484,115.35917085176708,-4.964073147316876,3.5721191966848096,-61.106,12.2,13.3,113.67,20.1,-9.6
0.218,2.013397353734007,-0.086639420730517,0.06234524125584484,115.35917085176708,-4.964073147316876,3.5721191966848096,-61.106,12.2,13.3,113.67,20.1,-9.6
0.221,2.013589688571864,-0.08665138081045631,0.062328597170645095,115.37019082622962,-4.964758409420037,3.5711655608490083,-61.117,12.2,13.3,113.67,20.1,-9.6
0.224,2.013694408326984,-0.08665138081045654,0.062328597170645095,115.37619082622963,-4.9647584094200505,3.5711655608490083,-61.117,12.2,13.3,113.676,20.1,-9.6
0.225,2.013012495705364,-0.08660896250166572,0.06238759751822709,115.33712011101412,-4.962328019352254,3.5745460317552613,-61.078,12.2,13.3,113.676,20.1,-9.6
0.225,2.013012495705364,-0.08660896250166572,0.06238759751822709,115.33712011101412,-4.962328019352254,3.5745460317552613,-61.078,12.2,13.3,113.676,20.1,-9.6
0.224,2.0131174050124216,-0.0866154910040764,0.06237852244584374,115.34313097154016,-4.962702074986926,3.57402606840892,-61.084,12.2,13.3,113.676,20.1,-9.6
0.222,2.0131174050124216,-0.0866154910040764,0.06237852244584374,115.34313097154016,-4.962702074986926,3.57402606840892,-61.084,12.2,13.3,113.676,20.1,-9.6
0.219,2.0125404052956437,-0.08657957250474868,0.06242842677071958,115.31007132298853,-4.960644096569005,3.576885375603755,-61.051,12.2,13.3,113.676,20.1,-9.6
0.216,2.0125404052956437,-0.08657957250474868,0.06242842677071958,115.31007132298853,-4.960644096569005,3.576885375603755,-61.051,12.2,13.3,113.676,20.1,-9.6
0.212,2.0126453140673934,-0.08658610527462929,0.062419354816134254,115.3160821528437,-4.961018396711694,3.5763655908940812,-61.057,12.2,13.3,113.676,20.1,-9.6
0.208,2.0126453140673934,-0.08658610527462929,0.062419354816134254,115.3160821528437,-4.961018396711694,3.5763655908940812,-61.057,12.2,13.3,113.676,20.1,-9.6
0.205,2.0120506756406007,-0.08654362532461035,0.06247831012885807,115.28201188065218,-4.9585844748616825,3.57974348149303,-61.018,12.2,13.3,113.681,20.1,-9.6
0.202,2.0121555837578615,-0.08655016330828058,0.0624692419876276,115.28802267300789,-4.958959073732512,3.5792239152724954,-61.024,12.2,13.3,113.681,20.1,-9.6
0.201,2.012243007279828,-0.08655561090399688,0.06246168467346236,115.29303167184673,-4.959271197975549,3.578790913066373,-61.029,12.2,13.3,113.681,20.1,-9.6
0.2,2.012243007279828,-0.08655561090399688,0.06246168467346236,115.29303167184673,-4.959271197975549,3.578790913066373,-61.029,12.2,13.3,113.681,20.1,-9.6
0.2,2.0116833103410894,-0.08651419267105864,0.06251910817895967,115.26096339945062,-4.9568981080332986,3.582081037576215,-60.991,12.2,13.3,113.687,20.1,-9.6
0.201,2.011770733317478,-0.08651964461006578,0.06251155404466124,115.26597236703016,-4.957210481128571,3.58164821756304,-60.996,12.2,13.3,113.687,20.1,-9.6
0.205,2.011963064156548,-0.08653163655981633,0.06249493325279376,115.27699211237906,-4.95789756923741,3.580695916336868,-61.007,12.2,13.3,113.687,20.1,-9.6
0.212,2.012050330619147,-0.08653163655981633,0.06249493325279365,115.28199211237904,-4.95789756923741,3.5806959163368615,-61.007,12.2,13.3,113.692,20.1,-9.6
0.218,2.011385916689889,-0.0864901963239828,0.06255234064277027,115.24392399838285,-4.955523218622122,3.5839851174953834,-60.969,12.2,13.3,113.692,20.1,-9.6
0.223,2.011490636445009,-0.08649019632398258,0.06255234064277038,115.24992399838287,-4.955523218622109,3.5839851174953896,-60.969,12.2,13.3,113.698,20.1,-9.6
0.226,2.0115780590575665,-0.08649565115749347,0.06254478862976309,115.25493294511642,-4.955835757560229,3.5835524190232446,-60.974,12.2,13.3,113.698,20.1,-9.6
0.226,2.0116653255201666,-0.08649565115749347,0.06254478862976331,115.25993294511645,-4.955835757560229,3.583552419023257,-60.974,12.2,13.3,113.703,20.1,-9.6
0.225,2.011088182201694,-0.08645417792898624,0.06260217183072692,115.2268650687938,-4.953459516603984,3.5868402342534225,-60.936,12.2,13.3,113.708,20.1,-9.6
0.225,2.011087995586049,-0.08644762605268164,0.06261122978843525,115.22685437650495,-4.953084121743839,3.587359217001118,-60.93,12.2,13.3,113.714,20.1,-9.6
