Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.228,0.2720231240439399,-0.33866578532587055,1.9589063352407021,15.585776937681423,-19.40412016465595,112.2370654707314,-0.434,-14.068,-61.298,-3.065,-16.622,113.67
0.226,0.2716329177714878,-0.33851043768844824,1.9589970364660239,15.563419765130385,-19.39521940067432,112.24226226813899,-0.434,-14.057,-61.298,-3.076,-16.617,113.67
0.226,0.27142382336256965,-0.338207701713519,1.9582886902467918,15.551439537979594,-19.377873907004098,112.20167701934295,-0.434,-14.052,-61.254,-3.087,-16.611,113.67
0.227,0.2711299975440089,-0.3380330980297672,1.9582916139795126,15.534604558664086,-19.367869852837686,112.20184453688827,-0.434,-14.041,-61.249,-3.093,-16.606,113.67
0.227,0.2707978316640731,-0.3378593996262216,1.9584291816554122,15.515572855645516,-19.357917667406358,112.20972658411475,-0.439,-14.03,-61.249,-3.098,-16.595,113.67
0.225,0.2703459410391188,-0.33767104232369993,1.9585977784421456,15.489681430034105,-19.3471255889314,112.21938646843404,-0.445,-14.013,-61.243,-3.104,-16.584,113.676
0.221,0.2700743111874794,-0.3371398620762964,1.9580709128580263,15.4741181859454,-19.316691202594466,112.1891992940933,-0.439,-13.997,-61.205,-3.109,-16.573,113.676
0.216,0.2697225792925664,-0.33678840735393356,1.9580728275321404,15.453965432846747,-19.296554330313132,112.18930899683919,-0.445,-13.98,-61.199,-3.109,-16.556,113.67
0.21,0.26917400479704223,-0.33656523642577496,1.9583757254993293,15.422534429504696,-19.283767578019624,112.2066637719822,-0.45,-13.958,-61.205,-3.115,-16.545,113.67
0.205,0.26875079011197356,-0.3362687880358701,1.9584665513887476,15.398286014222302,-19.26678233643463,112.21186771211639,-0.456,-13.942,-61.199,-3.12,-16.529,113.67
0.2,0.268433008698605,-0.33563243978035584,1.9579796943759447,15.38007848042858,-19.230322267093147,112.18397286005644,-0.45,-13.925,-61.161,-3.126,-16.512,113.67
0.198,0.2682389216446346,-0.33541742498980875,1.958071711498678,15.36895811137795,-19.218002827061913,112.189245052832,-0.45,-13.92,-61.161,-3.131,-16.501,113.67
0.197,0.2677865272661212,-0.3352789643764109,1.9582980986596277,15.343037822813686,-19.210069618285424,112.20221608169037,-0.456,-13.909,-61.166,-3.142,-16.49,113.67
0.196,0.2677544563917662,-0.33511988205052057,1.958467774683038,15.341200297067852,-19.20095487241678,112.21193780171633,-0.456,-13.909,-61.172,-3.142,-16.479,113.67
0.196,0.2677902755044552,-0.33468327543754284,1.957703927359444,15.343252581050837,-19.175939156185656,112.16817257388205,-0.445,-13.909,-61.133,-3.148,-16.474,113.665
0.197,0.2677902755044552,-0.33468327543754284,1.957703927359444,15.343252581050837,-19.175939156185656,112.16817257388205,-0.445,-13.909,-61.133,-3.148,-16.474,113.665
0.2,0.26785597165802055,-0.33475840729794126,1.9578693728821346,15.347016693380374,-19.18024389469345,112.17765190407154,-0.445,-13.914,-61.144,-3.148,-16.474,113.665
0.206,0.2680413372162729,-0.3348574318915789,1.9578930395442269,15.357637357535317,-19.185917585976885,112.1790079039246,-0.445,-13.925,-61.144,-3.148,-16.474,113.67
0.212,0.26834967980630575,-0.3347695953127492,1.9571233296367065,15.375304086588335,-19.180884920723074,112.13490677477428,-0.439,-13.936,-61.106,-3.148,-16.479,113.67
0.218,0.2685495524540189,-0.3349412142900432,1.9570276859248097,15.386755945742403,-19.190717963806375,112.12942679374562,-0.439,-13.947,-61.106,-3.148,-16.485,113.67
0.221,0.26874677741270603,-0.33510574081439715,1.9571581901887032,15.398056103489818,-19.200144639269812,112.13690413727518,-0.439,-13.953,-61.117,-3.142,-16.49,113.67
0.224,0.26894325743008896,-0.33530930206087084,1.9571632509602046,15.409313579244516,-19.211807839565175,112.13719409812329,-0.439,-13.964,-61.117,-3.142,-16.496,113.676
0.225,0.269221357327613,-0.3351110085435507,1.9564406014024838,15.425247529655664,-19.200446457917927,112.0957893283989,-0.434,-13.969,-61.078,-3.137,-16.496,113.676
0.225,0.2694384993916924,-0.3352331205245589,1.9563781768729958,15.437688853482173,-19.20744295905768,112.09221266632113,-0.434,-13.975,-61.078,-3.131,-16.501,113.676
0.224,0.26948017143135217,-0.3353371190776673,1.9564947964166068,15.44007648547838,-19.213401637226255,112.09889447397879,-0.439,-13.975,-61.084,-3.126,-16.501,113.676
0.222,0.269584891186472,-0.3353371190776673,1.9564947964166068,15.44607648547839,-19.213401637226255,112.09889447397879,-0.439,-13.975,-61.084,-3.12,-16.501,113.676
0.219,0.26973173346013546,-0.3352098390447271,1.955916299781388,15.45448992801341,-19.206109028522498,112.06574905831823,-0.439,-13.975,-61.051,-3.115,-16.501,113.676
0.216,0.2698209546891315,-0.3351704984936552,1.9559493018427299,15.459601927877854,-19.20385498098236,112.06763993714836,-0.439,-13.969,-61.051,-3.104,-16.501,113.676
