Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg)
0.545,-0.7725292078048598,-0.06782537314641068,0.13433186372844436,-44.2626631578034,-3.886107625189281,7.696648845766369,-56.08,-34.5,13.9,-105.656,-42.8,18.4
0.57,-0.7736447127714137,-0.0671044662691207,0.13469180023364896,-44.32657688441282,-3.8448027036986097,7.717271688407281,-55.772,-34.5,13.9,-105.414,-42.8,18.4
0.564,-0.7755203904518005,-0.06624062429838462,0.13511676600806777,-44.43404529922588,-3.7953082046091686,7.741620433718987,-55.404,-34.5,13.9,-105.156,-42.8,18.4
0.521,-0.7778611557622044,-0.0652703105233865,0.1355859514739028,-44.56816127234265,-3.7397133204983697,7.768502780720214,-54.992,-34.5,13.9,-104.881,-42.8,18.4
0.451,-0.7800942859304143,-0.06425880159630015,0.1360659610435344,-44.69611020608441,-3.681758128036516,7.796005303185996,-54.564,-34.5,13.9,-104.584,-42.8,18.4
0.391,-0.7816827212901295,-0.06328177603219864,0.13652088400162232,-44.78712084822544,-3.625778686737111,7.8220704686880405,-54.152,-34.5,13.9,-104.266,-42.8,18.4
0.38,-0.7821066091874109,-0.06240637251736403,0.13692128163911604,-44.81140783572634,-3.5756217599661695,7.84501156344344,-53.784,-34.5,13.9,-103.925,-42.8,18.4
0.421,-0.7815036033011267,-0.06159293805867305,0.13728728458341166,-44.77685814342071,-3.529015398572668,7.86598198744094,-53.443,-34.5,13.9,-103.552,-42.8,18.4
0.545,-0.7802207894390325,-0.0608037021919372,0.13763687418022513,-44.703358323221835,-3.4837955143683543,7.8860119959000325,-53.113,-34.5,13.9,-103.151,-42.8,18.4
0.57,-0.7264684630900067,-0.0671044662691207,0.13469180023364907,-41.623576884412806,-3.8448027036986097,7.717271688407287,-55.772,-34.5,13.9,-102.711,-42.8,18.4
0.564,-0.724504416416006,-0.06624062429838484,0.13511676600806777,-41.51104529922586,-3.7953082046091815,7.741620433718987,-55.404,-34.5,13.9,-102.233,-42.8,18.4
0.521,-0.722830924446823,-0.0652703105233865,0.13558595147390268,-41.41516127234264,-3.7397133204983697,7.768502780720207,-54.992,-34.5,13.9,-101.728,-42.8,18.4
0.451,-0.7211370637980457,-0.06425880159630015,0.1360659610435344,-41.318110206084405,-3.681758128036516,7.796005303185996,-54.564,-34.5,13.9,-101.206,-42.8,18.4
0.391,-0.7190777610210923,-0.06328177603219864,0.13652088400162227,-41.20012084822541,-3.625778686737111,7.822070468688037,-54.152,-34.5,13.9,-100.679,-42.8,18.4
0.38,-0.7163426029722648,-0.06240637251736403,0.13692128163911615,-41.043407835726356,-3.5756217599661695,7.845011563443446,-53.784,-34.5,13.9,-100.157,-42.8,18.4
0.421,-0.7134183091808275,-0.061592938058673274,0.13728728458341188,-40.875858143420686,-3.529015398572681,7.865981987440954,-53.443,-34.5,13.9,-99.651,-42.8,18.4
0.487,-0.710704325332098,-0.06080370219193698,0.13763687418022486,-40.72035832322182,-3.4837955143683415,7.886011995900017,-53.113,-34.5,13.9,-99.168,-42.8,18.4
0.555,-0.7088247196555097,-0.059962068175655636,0.13800372565353658,-40.61266485080448,-3.435573437340776,7.9070310370289345,-52.762,-34.5,13.9,-98.712,-42.8,18.4
0.57,-0.7079172376115129,-0.05903636760101527,0.13840018911646912,-40.56066995969955,-3.3825347013210476,7.9297467201861105,-52.377,-34.5,13.9,-98.278,-42.8,18.4
0.555,-0.7074788775964158,-0.05808390244420747,0.1388004934199803,-40.535553780927195,-3.3279624677026947,7.952682467298225,-51.982,-34.5,13.9,-97.861,-42.8,18.4
0.537,-0.7072316045719053,-0.057126304914385084,0.13919522970360387,-40.52138608023531,-3.2730961707717188,7.975299190370535,-51.586,-34.5,13.9,-97.454,-42.8,18.4
0.534,-0.7067917358339746,-0.05616845642794566,0.13958238764139697,-40.49618345801213,-3.218215495085746,7.997481706211068,-51.191,-34.5,13.9,-97.037,-42.8,18.4
0.549,-0.7060551450373013,-0.05522016132454244,0.13995817989460446,-40.45397991413457,-3.1638821879278196,8.019013016293568,-50.801,-34.5,13.9,-96.608,-42.8,18.4
0.571,-0.7051417055060627,-0.05424250138715214,0.1403378569487111,-40.401643684154195,-3.107866399716331,8.040766909071838,-50.4,-34.5,13.9,-96.158,-42.8,18.4
0.487,-0.7119513466901111,-0.02484302011651862,0.1677694918619122,-40.79180738399864,-1.4234002030351196,9.61248381474198,-49.982,-34.5,13.9,-95.674,-40.6,17.8
0.555,-0.6549938473057417,-0.03291356391995448,0.16638716881093318,-37.52838305765529,-1.8858083013474534,9.533282537997236,-52.762,-34.5,13.9,-95.153,-40.6,17.8
0.57,-0.6515533663368944,-0.03179995928266943,0.16660165975345625,-37.33125801864526,-1.8220034555848232,9.54557196374759,-52.377,-34.5,13.9,-94.576,-40.6,17.8
0.555,-0.6473246755232169,-0.030655978588627564,0.16681403217394716,-37.088971882155796,-1.7564581899717775,9.557740007126696,-51.982,-34.5,13.9,-93.944,-40.6,17.8
0.537,-0.6417688216066353,-0.02950767911373986,0.16701911593476637,-36.770644901144436,-1.6906654764436233,9.569490441068309,-51.586,-34.5,13.9,-93.235,-40.6,17.8
0.534,-0.6348688382183707,-0.028360913541776167,0.16721586711416236,-36.3753049742865,-1.624960649079198,9.58076345326192,-51.191,-34.5,13.9,-92.45,-40.6,17.8
0.549,-0.6264337103983848,-0.027227377612593306,0.1674024628857755,-35.89200775054792,-1.56001382441058,9.591454603450341,-50.801,-34.5,13.9,-91.582,-40.6,17.8
0.571,-0.6168436252855525,-0.02606059148495965,0.16758637267311202,-35.342536348411386,-1.4931619037027588,9.601991858075872,-50.4,-34.5,13.9,-90.637,-40.6,17.8
