No,Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
21,-0.122,-0.1462795284406319,0.10194092169254709,-0.08401065018323604,-8.381199608812102,5.8407845726565695,-4.813455689649381,1.653,8.372,56.245,2.642,-3.296,110.555,17.69808900685513,0.9910581551724308,1.9612099113391421,9.341284219069959,8.01617052028673,-0.8513303854873401
22,-0.124,-0.14639394181273255,0.10208876634129682,-0.08393407608645598,-8.387755012153328,5.8492554470535225,-4.809068317083858,1.626,8.41,56.245,2.626,-3.263,110.566,17.736014334311367,0.9644150375098394,1.9568338563176941,9.37479456252746,7.998154076278659,-0.8440376379592005
23,-0.13,-0.14650031880732256,0.10203037908457713,-0.0838542780829968,-8.393849964980621,5.845910103666137,-4.804496228272075,1.604,8.459,56.245,2.604,-3.219,110.577,17.7849549951972,0.9427058263597089,1.953268232596418,9.419121691039908,7.974282910787415,-0.8380708279282211
24,-0.139,-0.1467164168579764,0.1019555004275392,-0.083872372654923,-8.40623147124409,5.841619872642257,-4.805532970875544,1.582,8.514,56.245,2.582,-3.175,110.583,17.83989700762826,0.9209966115593703,1.9497026533359392,9.462995052978961,7.951504530056569,-0.8370255254117485
25,-0.153,-0.14703280187206158,0.10167815858557527,-0.08378920965074334,-8.424358997252359,5.825729355615339,-4.80076808172442,1.566,8.575,56.239,2.554,-3.131,110.588,17.90092609114639,0.9061800247921351,1.9411903084071058,9.506596457634279,7.92309005963252,-0.8382897079355333
26,-0.166,-0.1472538779027778,0.10150687739138609,-0.08390346714218463,-8.437025720763902,5.815915666078338,-4.807314553761758,1.544,8.63,56.239,2.527,-3.087,110.588,17.955870377060084,0.8844708082640301,1.9376247759156484,9.549775755978843,7.896744135227305,-0.8442534164341848
27,-0.178,-0.1474757675189944,0.10124563704059897,-0.08399264319135635,-8.449739059290891,5.800947696539719,-4.812423965012949,1.527,8.679,56.234,2.499,-3.049,110.583,18.00488675707275,0.868505460354033,1.929936892892647,9.58647189082015,7.870515062812655,-0.8553578083484151
28,-0.188,-0.14777375582041766,0.10089123558452862,-0.08416082860322993,-8.466812531306715,5.7806419888535965,-4.822060279288975,1.516,8.723,56.234,2.472,-3.021,110.577,18.048859903592792,0.8576508513178309,1.9281541467553835,9.61310972275072,7.845480071521551,-0.867224298346395
29,-0.194,-0.1480127167558918,0.10075026670750442,-0.08420230892067995,-8.480503984377883,5.772565067157412,-4.824436926411724,1.5,8.751,56.228,2.45,-3.005,110.572,18.076891487736525,0.8428342893440373,1.9196417725398263,9.627991500732143,7.825105281370154,-0.8770017471285163
30,-0.198,-0.14831419578645896,0.1005366815344515,-0.08424317172770102,-8.497777460441077,5.760327538174908,-4.826778192793088,1.489,8.767,56.223,2.428,-3.005,110.566,18.09292369821817,0.8327896559204709,1.912926269868553,9.626783646364268,7.804948809296511,-0.8877624329746492
31,-0.2,-0.1486316871948757,0.10025519287079332,-0.08422337219671214,-8.51596837817502,5.744199425766517,-4.825643763231087,1.478,8.773,56.217,2.401,-3.016,110.561,18.098967751726803,0.8229070273826226,1.9052241982069555,9.614519241438972,7.779694661221681,-0.8986417436662938
32,-0.201,-0.14903719293376716,0.10008124750601266,-0.08421684948965226,-8.539202145581834,5.734233090498721,-4.825270039645555,1.467,8.762,56.212,2.379,-3.049,110.555,18.088000377962352,0.812862410975698,1.8985086668253985,9.580314957761427,7.759537776764646,-0.9094005981987485
33,-0.202,-0.14933097108999951,0.09984790070313188,-0.08404015502453543,-8.556034394047083,5.720863303530781,-4.8151461925310395,1.456,8.729,56.206,2.351,-3.098,110.555,18.05504480640132,0.8029798023635542,1.8908065617199046,9.530482267099961,7.732215191612932,-0.9155787625761465
34,-0.202,-0.14980808978119955,0.09945670027319298,-0.08374924167035475,-8.58337128137965,5.698449169951579,-4.7984780851324915,1.445,8.69,56.201,2.313,-3.164,110.561,18.016077848395955,0.7929352029466564,1.8840910014046064,9.463905267474003,7.693823783893165,-0.9180588844432485
35,-0.203,-0.15011493142288457,0.09909213553787222,-0.08333527672231794,-8.600952012427067,5.677561149258396,-4.77475964074363,1.434,8.63,56.19,2.274,-3.241,110.566,17.956180329883793,0.7838626316316273,1.8714560374676243,9.386213246184003,7.6546749391650035,-0.9217426207732683
36,-0.202,-0.1505849974452244,0.09855860096192659,-0.08287686500070637,-8.627884811599642,5.6469918698324095,-4.748494583815962,1.423,8.564,56.184,2.225,-3.334,110.577,17.89022520079179,0.7739800613595433,1.863753869268338,9.29278337688174,7.604457279179015,-0.9217283643673745
37,-0.201,-0.15096869525047585,0.09785264927529713,-0.08228561548335003,-8.649869076448983,5.606543817648399,-4.7146184818322965,1.412,8.481,56.173,2.164,-3.439,110.588,17.80732763857866,0.7649075395946808,1.8511188349177095,9.18701540453078,7.542529736067095,-0.9243593752726522
38,-0.198,-0.15134431011026767,0.09699495172637995,-0.08155924786358114,-8.671390222637452,5.55740136799673,-4.673000682844576,1.401,8.388,56.162,2.093,-3.554,110.605,17.71442996513375,0.7558350488387888,1.8384837597092238,9.071523430888861,7.4695332865037845,-0.9232920915790144
