Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg)
0.537,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.534,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.549,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.571,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.487,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.555,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.57,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.555,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.537,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.534,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.549,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.571,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.59,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.604,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.625,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.655,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.68,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.695,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.703,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.698,-0.004184487670785132,-0.0013321051939558792,-0.005467465950682838,-0.23975348296051632,-0.07632400548112782,-0.3132627236056089
0.59,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.604,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.625,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.655,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.68,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.695,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.703,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.698,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.69,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.689,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.687,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.684,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.688,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.705,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.725,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.736,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.69,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.689,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.687,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.684,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
0.688,-0.0017455509442383746,0.0021852862710773913,-0.005435515431434681,-0.10001270202993456,0.12520768036061605,-0.311432093699438
