Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(rad),W_Debug_Pitch(rad),W_Debug_Yaw(rad),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(rad),H_Debug_Pitch(rad),H_Debug_Yaw(rad),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0.228,0.2720231240439399,-0.33866578532587055,1.9589063352407021,15.585776937681423,-19.40412016465595,112.2370654707314,-0.434,-14.068,-61.298,-3.065,-16.622,113.67,-9.123169235104315,-18.28399908227565,-113.37080330763807,2.055368011358871,-3.9015677339672394,0.1655182786480209
0.226,0.2716329177714878,-0.33851043768844824,1.9589970364660239,15.563419765130385,-19.39521940067432,112.24226226813899,-0.434,-14.057,-61.298,-3.076,-16.617,113.67,-9.122620349723993,-18.27312532722895,-113.37255337230934,2.0443375969471833,-3.8965876868410403,0.16596555446626343
0.226,0.27142382336256965,-0.338207701713519,1.9582886902467918,15.551439537979594,-19.377873907004098,112.20167701934295,-0.434,-14.052,-61.254,-3.087,-16.611,113.67,-9.12561316925688,-18.261733759508957,-113.32891684266406,2.0333011513260546,-3.8906116299771716,0.1665022784580793
0.227,0.2711299975440089,-0.3380330980297672,1.9582916139795126,15.534604558664086,-19.367869852837686,112.20184453688827,-0.434,-14.041,-61.249,-3.093,-16.606,113.67,-9.125432936868865,-18.250127100186024,-113.32561828202466,2.0272708230345122,-3.885631582330608,0.16694954263422523
0.227,0.2707978316640731,-0.3378593996262216,1.9584291816554122,15.515572855645516,-19.357917667406358,112.20972658411475,-0.439,-14.03,-61.249,-3.098,-16.595,113.67,-9.129884999201014,-18.2392534108162,-113.32736845778282,2.0222042385772534,-3.874675476677682,0.16793350524262224
0.225,0.2703459410391188,-0.33767104232369993,1.9585977784421456,15.489681430034105,-19.3471255889314,112.21938646843404,-0.445,-14.013,-61.243,-3.104,-16.584,113.676,-9.135480559372555,-18.221569008645147,-113.32401441394661,2.0174635264521132,-3.8642326282203414,0.17465795386381197
0.221,0.2700743111874794,-0.3371398620762964,1.9580709128580263,15.4741181859454,-19.316691202594466,112.1891992940933,-0.439,-13.997,-61.205,-3.109,-16.573,113.676,-9.131479701594804,-18.200181113935614,-113.2881909055088,2.0123972949366977,-3.8532765430086116,0.17564212023694337
0.216,0.2697225792925664,-0.33678840735393356,1.9580728275321404,15.453965432846747,-19.296554330313132,112.18930899683919,-0.445,-13.98,-61.199,-3.109,-16.556,113.67,-9.137076317066526,-18.182496496685125,-113.2848372621554,2.0109696928324396,-3.8358310929325703,0.17142189507650998
0.21,0.26917400479704223,-0.33656523642577496,1.9583757254993293,15.422534429504696,-19.283767578019624,112.2066637719822,-0.45,-13.958,-61.205,-3.115,-16.545,113.67,-9.140544206400778,-18.16162897880461,-113.29439405146834,2.0049039693826454,-3.824874982127604,0.17240574242438117
0.205,0.26875079011197356,-0.3362687880358701,1.9584665513887476,15.398286014222302,-19.26678233643463,112.21186771211639,-0.456,-13.942,-61.199,-3.12,-16.529,113.67,-9.146192439674177,-18.144932840000624,-113.29088049735657,1.9998087097154442,-3.8089388189503803,0.1738367482269225
0.2,0.268433008698605,-0.33563243978035584,1.9579796943759447,15.38007848042858,-19.230322267093147,112.18397286005644,-0.45,-13.925,-61.161,-3.126,-16.512,113.67,-9.142141110219715,-18.122554884417276,-113.25521979069701,1.9937079353137008,-3.7920066429792416,0.17535713382891363
0.198,0.2682389216446346,-0.33541742498980875,1.958071711498678,15.36895811137795,-19.218002827061913,112.189245052832,-0.45,-13.92,-61.161,-3.131,-16.501,113.67,-9.141893843812984,-18.117612309661823,-113.25601483501228,1.9886429693442307,-3.7810505276961814,0.17634088099372836
0.197,0.2677865272661212,-0.3352789643764109,1.9582980986596277,15.343037822813686,-19.210069618285424,112.20221608169037,-0.456,-13.909,-61.166,-3.142,-16.49,113.67,-9.146983262296676,-18.107472022385554,-113.2628114107479,1.9775781927149496,-3.770094411301721,0.17732460329499458
0.196,0.2677544563917662,-0.33511988205052057,1.958467774683038,15.341200297067852,-19.20095487241678,112.21193780171633,-0.456,-13.909,-61.172,-3.142,-16.479,113.67,-9.146542921776991,-18.10835204822328,-113.26886860858956,1.9775136054139757,-3.759138293799155,0.17830830080560228
0.196,0.2677902755044552,-0.33468327543754284,1.957703927359444,15.343252581050837,-19.175939156185656,112.16817257388205,-0.445,-13.909,-61.133,-3.148,-16.474,113.665,-9.138403345854597,-18.10263108973602,-113.2294974935628,1.9703797498590612,-3.753730436738552,0.17396953992716788
0.197,0.2677902755044552,-0.33468327543754284,1.957703927359444,15.343252581050837,-19.175939156185656,112.16817257388205,-0.445,-13.909,-61.133,-3.148,-16.474,113.665,-9.138403345854597,-18.10263108973602,-113.2294974935628,1.9703797498590612,-3.753730436738552,0.17396953992716788
0.2,0.26785597165802055,-0.33475840729794126,1.9578693728821346,15.347016693380374,-19.18024389469345,112.17765190407154,-0.445,-13.914,-61.144,-3.148,-16.474,113.665,-9.13784407888739,-18.109187448031797,-113.23980695902122,1.9703797498590612,-3.753730436738552,0.17396953992716788
0.206,0.2680413372162729,-0.3348574318915789,1.9578930395442269,15.357637357535317,-19.185917585976885,112.1790079039246,-0.445,-13.925,-61.144,-3.148,-16.474,113.67,-9.138387957834068,-18.120061080619877,-113.23805769670346,1.971484310134561,-3.754158240023459,0.17875542786215026
