No,Time,Roll(rad),Pitch(rad),Yaw(rad),Roll(deg),Pitch(deg),Yaw(deg),W_AngleX(deg),W_AngleY(deg),W_AngleZ(deg),H_AngleX(deg),H_AngleY(deg),H_AngleZ(deg),W_Debug_Roll(deg),W_Debug_Pitch(deg),W_Debug_Yaw(deg),H_Debug_Roll(deg),H_Debug_Pitch(deg),H_Debug_Yaw(deg)
0,0.228,-0.3331454043781731,-0.18376252076185717,2.0401493435521916,-19.087825635048457,-10.528816872339581,116.89194696192601,-0.434,-14.068,-61.298,-3.065,-16.622,113.67,-17.833811146977418,8.126131808819721,-116.05083181224843,-3.8204432623781694,1.7639523323699444,0.9378515279017126
1,0.226,-0.3329713478766293,-0.18378310419246846,2.040141596175082,-19.077852932113185,-10.529996216041509,116.89150306991533,-0.434,-14.057,-61.298,-3.076,-16.617,113.67,-17.822811146977408,8.126131808819721,-116.05083181224843,-3.8155180948896477,1.7532257540979346,0.935413061478585
2,0.226,-0.33265616094106154,-0.18397616374119252,2.0393662625229223,-19.059794050947488,-10.541057713378098,116.84707972393211,-0.434,-14.052,-61.254,-3.087,-16.611,113.67,-17.81120785132237,8.129019049788102,-116.00648245155311,-3.809592470247029,1.742499172652342,0.9329746230023669
3,0.227,-0.3324620184038771,-0.18391846508039933,2.03926645227999,-19.048670502942862,-10.53775182363109,116.84136101825992,-0.434,-14.041,-61.249,-3.093,-16.606,113.67,-17.799457331016207,8.129346825165715,-116.0014427100224,-3.804632845943622,1.7366483087150022,0.9316445773696612
4,0.227,-0.33210571500265385,-0.18387257685333647,2.039261218756956,-19.028255821826612,-10.53512262189105,116.84106115947809,-0.439,-14.03,-61.249,-3.098,-16.595,113.67,-17.78841052854937,8.124357578740211,-116.00111163514175,-3.793666388463227,1.7317725880526313,0.930536212301645
5,0.225,-0.3316764453443939,-0.18376464342889065,2.039249729292238,-19.00366048213529,-10.528938492201911,116.84040286164088,-0.445,-14.013,-61.243,-3.104,-16.584,113.676,-17.77045376076227,8.118763715529207,-115.99466682872949,-3.782205651173085,1.7245942241999888,0.9350511078019241
6,0.221,-0.3313011835123749,-0.18362462664836232,2.038551031765061,-18.982159562948258,-10.520916121616628,116.8003704421774,-0.439,-13.997,-61.205,-3.109,-16.573,113.676,-17.748804733720284,8.12723914595628,-115.95676212394473,-3.771238961499028,1.7197185118001517,0.9339427133899136
7,0.216,-0.3307391266530679,-0.18342065353220383,2.0383225533532716,-18.94995607706359,-10.509229322926615,116.78727959347204,-0.445,-13.98,-61.199,-3.109,-16.556,113.67,-17.73084773063718,8.12164454718141,-115.9503179228007,-3.754739849551085,1.7210460003182677,0.928097829205046
8,0.21,-0.3303183771686572,-0.18321002906126527,2.0384078267056362,-18.925848907374547,-10.49716142967966,116.79216539666746,-0.45,-13.958,-61.205,-3.115,-16.545,113.67,-17.70970201644036,8.116262719821883,-115.95603506125303,-3.7437797265660095,1.715195132967086,0.9267678136349261
9,0.205,-0.32979622815281806,-0.18310438328990908,2.038290758256654,-18.895931972490057,-10.491108372857546,116.78545786862662,-0.456,-13.942,-61.199,-3.12,-16.529,113.67,-17.692745111213295,8.110668109026934,-115.94959105541992,-3.727812853523357,1.7103194094687162,0.9256594735411607
10,0.2,-0.32930931291277077,-0.18296556195499059,2.0375914739452274,-18.86803378425475,-10.483154496260344,116.74539182890217,-0.45,-13.925,-61.161,-3.126,-16.512,113.67,-17.670094066925255,8.1191391413519,-115.9116861700115,-3.710852481207849,1.7044685404265354,0.9243294728621241
11,0.198,-0.32907805143211133,-0.18297482437553514,2.0375878536393603,-18.854783477449015,-10.483685193865622,116.74518440065545,-0.45,-13.92,-61.161,-3.131,-16.501,113.67,-17.66509406692528,8.1191391413519,-115.9116861700115,-3.699885400392714,1.699592815523429,0.9232211451386364
12,0.197,-0.3287267099111575,-0.18303212534398483,2.0376764770815514,-18.834653091130654,-10.486968297519802,116.75026214985891,-0.456,-13.909,-61.166,-3.142,-16.49,113.67,-17.6547891882243,8.112825348115939,-115.91632990240053,-3.6889574901717466,1.6888662185018712,0.9207828438260903
13,0.196,-0.3285579642682398,-0.18302153847585956,2.0377823530415102,-18.824984677980247,-10.486361714657962,116.75632839551645,-0.456,-13.909,-61.172,-3.142,-16.479,113.67,-17.655690361185012,8.112433334683415,-115.92237741206017,-3.677957490171747,1.6888662185018712,0.9207828438260987
14,0.196,-0.3284783665318747,-0.18311472814990148,2.0369946363193194,-18.82042406362773,-10.491701089674764,116.71119555188304,-0.445,-13.909,-61.133,-3.148,-16.474,113.665,-17.649934378202722,8.125956301107468,-115.88379333940792,-3.6734142884178476,1.6841214845435186,0.9145823961912141
15,0.197,-0.3284783665318747,-0.18311472814990148,2.0369946363193194,-18.82042406362773,-10.491701089674764,116.71119555188304,-0.445,-13.909,-61.133,-3.148,-16.474,113.665,-17.649934378202722,8.125956301107468,-115.88379333940792,-3.6734142884178476,1.6841214845435186,0.9145823961912141
16,0.2,-0.3285608791466119,-0.18317325859934486,2.037196012976639,-18.825151688208763,-10.495054637400873,116.72273358443991,-0.445,-13.914,-61.144,-3.148,-16.474,113.665,-17.656586962081654,8.125238466793144,-115.89488087190817,-3.6734142884178476,1.6841214845435186,0.9145823961912141
17,0.206,-0.328660032936935,-0.18334115592198907,2.0373005588372752,-18.830832781917003,-10.504674445379933,116.72872362101992,-0.445,-13.925,-61.144,-3.148,-16.474,113.67,-17.667586962081664,8.125238466793132,-115.89488087190813,-3.672996619215982,1.6830153461095485,0.919452872648786
18,0.212,-0.3287800086931263,-0.18353416571572057,2.0366376151342873,-18.837706886390652,-10.515733091965439,116.69073974478394,-0.439,-13.936,-61.106,-3.148,-16.479,113.67,-17.672933297354323,8.133704158785852,-115.85697333539966,-3.6779966192159734,1.6830153461095614,0.9194528726487836
19,0.218,-0.32897243965288425,-0.18370569395891634,2.0366536303089835,-18.848732368232437,-10.52556093636785,116.6916573467022,-0.439,-13.947,-61.106,-3.148,-16.485,113.67,-17.68393329735432,8.133704158785852,-115.85697333539966,-3.6839966192159754,1.6830153461095614,0.9194528726487742
20,0.221,-0.329149483600799,-0.18367514013589958,2.0368520964499814,-18.858876239236285,-10.523810331261,116.70302861895763,-0.439,-13.953,-61.117,-3.142,-16.49,113.67,-17.691586252404868,8.132987090350241,-115.86806114164925,-3.6889574901717466,1.6888662185018712,0.9207828438260903
21,0.224,-0.3293556405669933,-0.18384231812980367,2.0369743943428387,-18.87068816331644,-10.533388924739167,116.71003577206169,-0.439,-13.964,-61.117,-3.142,-16.496,113.676,-17.702586252404863,8.132987090350241,-115.86806114164925,-3.6944564409361456,1.6875387939156143,0.9266274515638854
22,0.225,-0.32932013680420247,-0.18386421223741012,2.0362827517047517,-18.868653947551692,-10.534643364701223,116.67040756796801,-0.434,-13.969,-61.078,-3.137,-16.496,113.676,-17.701771677646725,8.140517387723202,-115.82907846951703,-3.6944237539487266,1.6924145105267219,0.9277358088926095
23,0.225,-0.32945440689615446,-0.18385316018093079,2.0362870805033317,-18.876347057135373,-10.534010128510017,116.670655589857,-0.434,-13.975,-61.078,-3.131,-16.501,113.676,-17.707771677646726,8.140517387723202,-115.82907846951709,-3.6993844049003877,1.6982653696244023,0.9290658450456494
24,0.224,-0.3294001160578611,-0.1837933443042581,2.0363962950803587,-18.87323642123494,-10.530582931228796,116.67691312418197,-0.439,-13.975,-61.084,-3.126,-16.501,113.676,-17.708626958010175,8.135137345606283,-115.8347976007491,-3.6993515101391843,1.703141084840595,0.930174214657575
25,0.222,-0.3293993105532489,-0.18368871429177114,2.0363918864028916,-18.87319026922028,-10.524588073102892,116.67666052556986,-0.439,-13.975,-61.084,-3.12,-16.501,113.676,-17.708626958010175,8.135137345606283,-115.8347976007491,-3.69931191175887,1.7089919422590572,0.9315042655972106
26,0.219,-0.32927019810766367,-0.18365998690902763,2.035805864585976,-18.865792671005632,-10.522942115315233,116.643083948758,-0.439,-13.975,-61.051,-3.115,-16.501,113.676,-17.703666376815335,8.13728475029,-115.80153369360967,-3.699278809218176,1.713867656071493,0.9326126475702188
27,0.216,-0.32922096783780386,-0.183374563275577,2.035789096593876,-18.862971984318378,-10.506588545745222,116.64212321357977,-0.439,-13.969,-61.051,-3.104,-16.501,113.676,-17.697666376815327,8.13728475029,-115.80153369360967,-3.6992056511730884,1.7245942242000014,0.9350511078019335
28,0.212,-0.32907349271475106,-0.1832556824624778,2.0359024122157097,-18.854522282184277,-10.499777176889555,116.64861572046374,-0.45,-13.969,-61.057,-3.093,-16.501,113.676,-17.698466163920454,8.125917820489233,-115.80685892695426,-3.6991320359912248,1.7353207892066174,0.9374895955240508
29,0.208,-0.32907269595272237,-0.18315105103985263,2.0358980387340804,-18.854476631082758,-10.493782237968682,116.64836513842461,-0.45,-13.969,-61.057,-3.087,-16.501,113.676,-17.698466163920454,8.125917820489233,-115.80685892695426,-3.6990916895736006,1.7411716415238134,0.9388196913843153
30,0.205,-0.32897856697881545,-0.18311814952495764,2.035299099503666,-18.849083438147996,-10.491897120025614,116.61404844833704,-0.45,-13.975,-61.018,-3.076,-16.501,113.681,-17.698602406368707,8.128452525830612,-115.76754777386165,-3.6986001991535344,1.7507918689767266,0.9461291769403817
31,0.202,-0.3291449631243075,-0.18299374603688046,2.035404202589869,-18.858617235011934,-10.484769325202084,116.62007041159028,-0.45,-13.98,-61.024,-3.065,-16.507,113.681,-17.704504639648786,8.12806283040569,-115.77359567678394,-3.7045254650074697,1.7615184082028859,0.9485678120996165
32,0.201,-0.3292333310683372,-0.18297019234743694,2.0355086799173945,-18.863680345249083,-10.48341979820501,116.6260565215123,-0.461,-13.986,-61.029,-3.054,-16.518,113.681,-17.71115447048728,8.116761253740425,-115.77791366058852,-3.7154502736661477,1.7722449442399286,0.9510064753401686
33,0.2,-0.32951070259089654,-0.18286280014036604,2.035512960939675,-18.879572562848853,-10.477266677987252,116.62630180602098,-0.461,-13.997,-61.029,-3.038,-16.529,113.681,-17.722154470487276,8.116761253740425,-115.77791366058852,-3.726340088265327,1.7878471727426943,0.9545536723529494
34,0.2,-0.32969386383233923,-0.1829834795129266,2.0349638737690605,-18.890066928953896,-10.484181096709259,116.59484142855997,-0.461,-14.013,-60.991,-3.027,-16.54,113.687,-17.7324399588461,8.119228158756641,-115.73961123674069,-3.7367635356545494,1.7972459600305453,0.9628379465066418
35,0.201,-0.33016524304702255,-0.18302152106036318,2.0350715089253097,-18.91707496850544,-10.486360716823521,116.60100846874029,-0.461,-14.035,-60.996,-3.01,-16.556,113.687,-17.7551919654334,8.118903782069992,-115.74465105698717,-3.752644779901853,1.813823282380895,0.966607095843114
36,0.205,-0.3308047999930598,-0.18314434947197888,2.035292931988789,-18.95371888227165,-10.493398266413397,116.61369507576451,-0.461,-14.062,-61.007,-2.994,-16.578,113.687,-17.78384627631731,8.118189922861978,-115.75573863205908,-3.7745320120880197,1.829425460957947,0.9701545935960406
